Option,Group,GroupName
Höhe über NN in m,1393,Höhe über NN
Humidité Relative,1391,Humidité Relative
humidité relative air,1391,Humidité Relative
HumiditySHT_3,1382,HumiditySHT
HumiditySHT_1,1382,HumiditySHT
HumiditySHT_5,1382,HumiditySHT
HumiditySHT_0,1382,HumiditySHT
HumiditySHT,1382,HumiditySHT
HumiditySHT_6,1382,HumiditySHT
HumiditySHT_4,1382,HumiditySHT
HumiditySHT_7,1382,HumiditySHT
HumiditySHT_2,1382,HumiditySHT
Humidity-HECA,1380,Humidity HECA
Humidity HECA,1380,Humidity HECA
rel. Luftfeuchte HTU21D,1378,"Humidity / Luftfeuchte, HTU21D"
"Humidity / Luftfeuchte, HTU21D",1378,"Humidity / Luftfeuchte, HTU21D"
"Humidity / Luftfeuchte, HECA (preheating chamber)",1376,"Humidity / Luftfeuchte, HECA (preheating chamber)"
"Temperature, HECA (preheating chamber)",1376,"Humidity / Luftfeuchte, HECA (preheating chamber)"
Rel. Luftfeuchte DHT22,1374,"Humidity / Luftfeuchte, DHT22"
Luftfeuchte DHT22,1374,"Humidity / Luftfeuchte, DHT22"
rel. Luftfeuchte (DHT22),1374,"Humidity / Luftfeuchte, DHT22"
"Humidity / Luftfeuchte, DHT22",1374,"Humidity / Luftfeuchte, DHT22"
rel. Luftfeuchte DHT22,1374,"Humidity / Luftfeuchte, DHT22"
Luftfeuchte (BME280),1370,Humidity / Luftfeuchte
"rel. Luftfeuchte, BME280",1370,Humidity / Luftfeuchte
Humidity / Luftfeuchte,1370,Humidity / Luftfeuchte
"Humidity / Luftfeuchte, BME280",1370,Humidity / Luftfeuchte
Luftfeuchte BME280,1370,Humidity / Luftfeuchte
rel. Luftfeuchte BME280,1370,Humidity / Luftfeuchte
rel. Luftfeuchte (BME280),1370,Humidity / Luftfeuchte
Humid 1,1368,Humid
Humid 2,1368,Humid
Helligkeitssensor B,1366,Helligkeitssensor A
Helligkeitssensor A,1366,Helligkeitssensor A
Humidex (Heat Index),1364,Heat Index
Heat Index,1364,Heat Index
GPS Altitude MSL,1362,GPS Altitude
GPS Altitude,1362,GPS Altitude
Global radiation,1360,Global radiation
Global Radiation,1360,Global radiation
Gewicht Wägezelle_04,1356,Gewicht Wägezelle_01
Gewicht Wägezelle_03,1356,Gewicht Wägezelle_01
Gewicht Wägezelle_01,1356,Gewicht Wägezelle_01
Gewicht Wägezelle_02,1356,Gewicht Wägezelle_01
Gesamtniederschlag  2,1354,Gesamtniederschlag
Gesamtniederschlag 1,1354,Gesamtniederschlag
Gesamthärte 2,1352,Gesamthärte
Gesamthärte,1352,Gesamthärte
gelöster Sauerstoff,1348,gelöster Sauerstoff
gelöster Sauerstoff a,1348,gelöster Sauerstoff
Gelöster Sauerstoff (DO),1348,gelöster Sauerstoff
Gelöster Sauerstoff,1348,gelöster Sauerstoff
gas,1346,gas
Gas,1346,gas
G4-temp-2m-B,1344,G4-temp-2m-A
G4-temp-2m-A,1344,G4-temp-2m-A
G4-temp-1m-B,1342,G4-temp-1m-A
G4-temp-1m-A,1342,G4-temp-1m-A
G4-temp-0m-A,1340,G4-temp-0m-A
G4-temp-0m-B,1340,G4-temp-0m-A
G4-temp-0.5m-A,1338,G4-temp-0.5m-A
